macro,type,size,file,line
DIOCGIDENT,char [ DISK_IDENT_SIZE ],256,12.1src/sys/sys/disk.h,85
DIOCGPHYSPATH,char [ MAXPATHLEN ],1024,12.1src/sys/sys/disk.h,124
DIOCGPROVIDERNAME,char [ MAXPATHLEN ],1024,12.1src/sys/sys/disk.h,106
DIOCSKERNELDUMP,struct diocskerneldump_arg,76,12.1src/sys/sys/disk.h,154
DIOCZONECMD,struct disk_zone_args,108,12.1src/sys/sys/disk.h,144
PIOCGFL,unsigned int,4,12.1src/sys/sys/pioctl.h,62
PIOCSTATUS,struct procfs_status,20,12.1src/sys/sys/pioctl.h,61
PIOCWAIT,struct procfs_status,20,12.1src/sys/sys/pioctl.h,58
IOV_CONFIG,struct pci_iov_arg,8,12.1src/sys/sys/iov.h,254
IOV_GET_SCHEMA,struct pci_iov_schema,12,12.1src/sys/sys/iov.h,256
AIOGCAP,snd_capabilities,28,12.1src/sys/sys/soundcard.h,306
AIOGFMT,snd_chan_param,16,12.1src/sys/sys/soundcard.h,250
AIOGMIX,snd_mix_param,4,12.1src/sys/sys/soundcard.h,264
AIOGSIZE,struct snd_size,8,12.1src/sys/sys/soundcard.h,142
AIONWRITE,int,4,12.1src/sys/sys/soundcard.h,137
AIOSFMT,snd_chan_param,16,12.1src/sys/sys/soundcard.h,251
AIOSMIX,snd_mix_param,4,12.1src/sys/sys/soundcard.h,265
AIOSSIZE,struct snd_size,8,12.1src/sys/sys/soundcard.h,143
AIOSTOP,int,4,12.1src/sys/sys/soundcard.h,273
AIOSYNC,snd_sync_parm,8,12.1src/sys/sys/soundcard.h,287
MIOGPASSTHRU,int,4,12.1src/sys/sys/soundcard.h,774
MIOSPASSTHRU,int,4,12.1src/sys/sys/soundcard.h,773
OSS_GETVERSION,int,4,12.1src/sys/sys/soundcard.h,1733
SNDCTL_AUDIOINFO,oss_audioinfo,1180,12.1src/sys/sys/soundcard.h,1989
SNDCTL_AUDIOINFO_EX,oss_audioinfo,1180,12.1src/sys/sys/soundcard.h,1995
SNDCTL_CARDINFO,oss_card_info,1176,12.1src/sys/sys/soundcard.h,1993
SNDCTL_COPR_HALT,copr_debug_buf,20,12.1src/sys/sys/soundcard.h,993
SNDCTL_COPR_LOAD,copr_buffer,4016,12.1src/sys/sys/soundcard.h,987
SNDCTL_COPR_RCODE,copr_debug_buf,20,12.1src/sys/sys/soundcard.h,989
SNDCTL_COPR_RCVMSG,copr_msg,4004,12.1src/sys/sys/soundcard.h,995
SNDCTL_COPR_RDATA,copr_debug_buf,20,12.1src/sys/sys/soundcard.h,988
SNDCTL_COPR_RUN,copr_debug_buf,20,12.1src/sys/sys/soundcard.h,992
SNDCTL_COPR_SENDMSG,copr_msg,4004,12.1src/sys/sys/soundcard.h,994
SNDCTL_COPR_WCODE,copr_debug_buf,20,12.1src/sys/sys/soundcard.h,991
SNDCTL_COPR_WDATA,copr_debug_buf,20,12.1src/sys/sys/soundcard.h,990
SNDCTL_DSP_BIND_CHANNEL,int,4,12.1src/sys/sys/soundcard.h,1717
SNDCTL_DSP_COOKEDMODE,int,4,12.1src/sys/sys/soundcard.h,1628
SNDCTL_DSP_CURRENT_IPTR,oss_count_t,140,12.1src/sys/sys/soundcard.h,1669
SNDCTL_DSP_CURRENT_OPTR,oss_count_t,140,12.1src/sys/sys/soundcard.h,1670
SNDCTL_DSP_GETBLKSIZE,int,4,12.1src/sys/sys/soundcard.h,785
SNDCTL_DSP_GETCAPS,int,4,12.1src/sys/sys/soundcard.h,829
SNDCTL_DSP_GETCHANNELMASK,int,4,12.1src/sys/sys/soundcard.h,1716
SNDCTL_DSP_GETERROR,audio_errinfo,104,12.1src/sys/sys/soundcard.h,1597
SNDCTL_DSP_GETFMTS,int,4,12.1src/sys/sys/soundcard.h,806
SNDCTL_DSP_GETIPEAKS,oss_peaks_t,256,12.1src/sys/sys/soundcard.h,1707
SNDCTL_DSP_GETIPTR,count_info,12,12.1src/sys/sys/soundcard.h,933
SNDCTL_DSP_GETISPACE,audio_buf_info,16,12.1src/sys/sys/soundcard.h,820
SNDCTL_DSP_GETODELAY,int,4,12.1src/sys/sys/soundcard.h,945
